"linux-image-generic"        "Generic Linux kernel image"
"linux-image-lowlatency"     "Low latency Linux kernel image"
"linux-image-flo"            "Linux kernel image for the Nexus7 (flo)"
"linux-image-generic-lpae"   "Linux kernel image for ARM (hard float) SMP"
"linux-image-goldfish"       "Linux kernel image for the goldfish kernel"
"linux-image-hammerhead"     "Linux kernel image for the Nexus 5 (hammerhead)"
"linux-image-mako"           "Linux kernel image for the Nexus4 (mako)."
"linux-image-powerpc-e500mc" "Linux kernel image on Freescale Power e500mc"
"linux-image-powerpc-smp"    "Linux kernel image for PowerPC SMP"
"linux-image-powerpc64-emb"  "Linux kernel image for PowerPC64 Embedded"
"linux-image-powerpc64-smp"  "Linux kernel image for PowerPC64 SMP"
